author_id,name,greek_name,birth_place,estimated_birth_year,estimated_death_year,period,primary_genre,notes
1,Homer,Homeros,Ionia or Chios,-800,-701,Archaic,Epic poetry,Traditional author of the Iliad and Odyssey
2,Hesiod,Hesiodos,Ascra,-750,-650,Archaic,Didactic poetry,Author of Theogony and Works and Days
3,Herodotus,Herodotos,Halicarnassus,-484,-425,Classical,History,Author of The Histories
4,Apollodorus,Pseudo-Apollodorus,Unknown,-200,100,Hellenistic or Roman,Mythography,Associated with the Bibliotheca
5,Ovid,Publius Ovidius Naso,Sulmo,-43,17,Roman,Poetry,Author of Metamorphoses
6,Virgil,Publius Vergilius Maro,Mantua,-70,-19,Roman,Epic poetry,Author of the Aeneid
7,Euripides,Euripides,Athens or Salamis,-480,-406,Classical,Tragedy,Greek tragedian
8,Sophocles,Sophokles,Colonus,-497,-406,Classical,Tragedy,Greek tragedian
9,Aeschylus,Aischylos,Eleusis,-525,-456,Classical,Tragedy,Greek tragedian
10,Pindar,Pindaros,Cynoscephalae,-518,-438,Classical,Lyric poetry,Known for victory odes
11,Pausanias,Pausanias,Lydia,-110,-180,Roman period,Travel writing,Author of Description of Greece
12,Plutarch,Ploutarchos,Chaeronea,46,119,Roman period,Biography and essays,Author of Parallel Lives and Moralia
13,Diodorus Siculus,Diodoros Sikeliotes,Agyrium,-90,-30,Hellenistic,History,Author of Bibliotheca historica
14,Apollonius Rhodius,Apollonios Rhodios,Alexandria or Rhodes,-295,-215,Hellenistic,Epic poetry,Author of Argonautica
15,Callimachus,Callimachos,Cyrene,-310,-240,Hellenistic,Poetry and scholarship,Alexandrian poet and scholar
16,Quintus Smyrnaeus,Quintus Smyrnaeus,Smyrna,200,300,Imperial Greek,Epic poetry,Author of Posthomerica
17,Nonnus,Nonnos,Panopolis,400,470,Late Antiquity,Epic poetry,Author of Dionysiaca
18,Lucian,Lucianos,Samosata,125,180,Roman period,Satire,Author of satirical dialogues involving gods
19,Hyginus,Gaius Julius Hyginus,Unknown,-64,17,Roman,Mythography,Associated with Fabulae and Astronomica
20,Antoninus Liberalis,Antoninus Liberalis,Unknown,100,300,Roman period,Mythography,Author of Metamorphoses collection
21,Parthenius of Nicaea,Parthenios,Nicaea,-100,-14,Hellenistic,Poetry and mythography,Author of Love Romances
22,Strabo,Strabon,Amasia,-64,24,Roman period,Geography,Author of Geographica
23,Arrian,Arrianos,Nicomedia,86,160,Roman period,History,Author of Anabasis and other works
24,Philostratus,Philostratos,Lemnos,170,247,Roman period,Biography and rhetoric,Associated with Heroicus
25,Pseudo-Hyginus,Pseudo-Hyginus,Unknown,0,300,Roman,Mythography,Attribution uncertain
