crime_id,event_id,character_id,alleged_action,mythological_category,mythological_punishment,punishing_figure,modern_uk_equivalent,likely_illegal_today,modern_law_note,severity_rating,notes
1,3,13,Abduction of Persephone,Abduction and forced marriage,Seasonal compromise involving Persephone returning for part of the year,Demeter and Zeus,Kidnapping coercive control or forced marriage,TRUE,This would clearly be unlawful under modern UK law,5,Myth explains the seasonal cycle but the action is deeply troubling by modern standards
2,5,60,Taking Helen from Sparta,Abduction or elopement,War between Greeks and Trojans,Menelaus and Greek forces,Kidnapping or no offence depending on consent,UNCLEAR,Modern legality would depend heavily on consent coercion and circumstances,4,Traditions vary over whether Helen was abducted persuaded or willingly left
3,7,39,Authorising sacrifice of Iphigenia,Human sacrifice,Family curse and later vengeance,Clytemnestra,Murder conspiracy to murder or child killing,TRUE,Would be treated as an extremely serious criminal offence,5,Some traditions say Artemis rescues Iphigenia
4,8,37,Refusing to fight during the Trojan War,Dereliction or heroic anger,Greek losses and death of Patroclus,Consequences of war,Not normally a criminal offence,UNCLEAR,Would depend on military status orders and jurisdiction,2,Interesting example where mythic blame is not the same as modern criminal liability
5,10,37,Killing Hector,Combat killing,None direct,Achilles,Unlawful killing or lawful combat depending context,UNCLEAR,In modern law this would depend on whether it occurred in lawful armed conflict,4,Heroic killing in myth but legally complex in modern terms
6,13,46,Blinding Polyphemus,Violence,Poseidon obstructs Odysseus journey,Poseidon,Grievous bodily harm or self-defence,UNCLEAR,Could be serious assault unless justified as self-defence or escape from captivity,4,Polyphemus had trapped and killed members of Odysseus crew
7,14,49,Transforming Odysseus crew into animals,Magical harm and detention,Forced reversal after Hermes intervention,Odysseus and Hermes,Assault false imprisonment or administering a harmful substance,TRUE,Magic is not a legal category but the underlying restraint and harm would be criminal,4,Useful example for translating mythic magic into modern legal concepts
8,15,50,Detaining Odysseus on Ogygia,Detention and coercion,Ordered release by the gods,Hermes and Zeus,False imprisonment or coercive control,TRUE,Keeping someone against their will would be unlawful,4,The myth frames this through divine command and desire
9,17,42,Killing Agamemnon,Revenge killing,Threat of vengeance by Orestes,Orestes,Murder,TRUE,Revenge would not be a lawful defence to murder,5,Clytemnestra motive is often linked to Iphigenia and Agamemnon actions
10,18,44,Killing Clytemnestra,Matricide and revenge,Pursuit by the Furies,Furies,Murder,TRUE,Killing a parent for revenge would be murder,5,The myth explores competing duties to father mother and divine command
11,19,44,Seeking purification after killing Clytemnestra,Blood guilt and legal trial,Trial at Athens,Athena,Criminal trial after homicide,TRUE,The killing would be prosecuted rather than treated as ritual pollution,5,Useful comparison between mythic pollution and formal legal process
12,20,33,Taking the Golden Fleece,Heroic theft or quest,Flight from Colchis,Aeetes,Theft burglary or political offence,TRUE,Taking valuable property without permission would generally be unlawful,3,Heroic quest narratives often treat theft as glory when done by the hero
13,21,34,Helping Jason steal the Golden Fleece,Betrayal and magical assistance,Exile and later tragedy,Aeetes,Conspiracy theft or aiding an offence,TRUE,Helping another person commit theft may create criminal liability,3,Medea role shifts between helper victim strategist and offender
14,22,34,Killing her children in revenge,Filicide and revenge,Escape in divine chariot,Human society,Murder,TRUE,Would be treated as murder,5,One of the darkest mythological episodes
15,23,32,Killing the Minotaur,Monster slaying,None direct,Mythic heroic society,Homicide animal killing or self-defence,UNCLEAR,Would depend whether the Minotaur is treated as a person animal or immediate threat,3,Excellent messy classification case
16,23,72,Keeping the Minotaur in the Labyrinth,Imprisonment and concealment,Ongoing tribute from Athens,None,False imprisonment or unlawful detention,TRUE,Detaining a sentient being would be unlawful if treated as a person,4,The Minotaur classification deliberately creates ambiguity
17,24,76,Escaping imprisonment using wings,Escape and engineering risk,Death of Icarus,Consequences of flight,Escape from lawful custody or no offence,UNCLEAR,Depends whether the imprisonment was lawful and whether damage occurred,2,More tragic engineering incident than straightforward crime
18,24,77,Flying too close to the sun,Reckless disobedience,Death by falling,Natural consequence,Not a crime,FALSE,Recklessness toward oneself is not usually criminal unless it endangers others,1,Mythic punishment is consequence rather than legal punishment
19,25,31,Killing Medusa,Monster slaying,None direct,Athena and heroic tradition,Homicide or self-defence,UNCLEAR,Would depend whether Medusa is legally a person and whether there was immediate threat,3,Another useful monster classification problem
20,27,78,Killing his father unknowingly,Unwitting patricide,Self-exile and ruin,Fate and social order,Murder manslaughter or self-defence depending facts,UNCLEAR,Modern liability would depend on intent knowledge and circumstances,5,Oedipus does not know Laius is his father
21,27,78,Marrying his mother unknowingly,Incest taboo,Self-blinding and exile,Social and divine order,Potentially void marriage but criminal liability unclear,UNCLEAR,Modern treatment would depend on knowledge consent and specific law,4,The myth is about pollution fate and identity rather than ordinary criminal intent
22,28,80,Burying Polyneices against royal order,Defiance of state order,Death sentence,Creon,Potential breach of order but burial itself not usually criminal,FALSE,Modern law would not treat family burial duty in the same mythic way,2,Good example of moral duty conflicting with authority
23,28,84,Sentencing Antigone to death,Abuse of authority,Personal and family catastrophe,Consequences of tyranny,Murder unlawful imprisonment or misconduct in public office,TRUE,A ruler ordering death without lawful process would be criminal,5,Creon is a useful example of state power as harm
24,29,12,Driving Pentheus and Thebes into destruction,Divine revenge,Death and social collapse,Dionysus,Incitement coercion or no equivalent,UNCLEAR,Divine madness has no direct modern legal equivalent but coercion and harm would matter,4,Useful example of conduct that resists neat legal coding
25,30,35,Entering the Underworld to retrieve Eurydice,Unauthorised realm entry,Failure of rescue condition,Hades and Persephone,Trespass or no offence,UNCLEAR,There is no modern equivalent to entering the Underworld,1,Mostly a tragic rescue attempt rather than a crime
